	Warps	Games	Nights	Wins	Nights Won	CFBs	High Night			
Math	322	67	20	13	4	1	31			
DWPA	320	70	17	11	3	0	32			
Paw	310	65	13	11	4	1	55			
Triode	282	61	20	9	2	0	30			
AC	270	63	14	6	2	0	47			
Spiral-in-Square	262	50	15	15	3	1	38			
Blade	228	49	13	7	2	1	47			
III	206	49	18	5	2	0	34			
Rhombus-4	195	46	13	5	1	2	35			
77K	128	23	7	8	3	0	55			
Backwards-Alpha	103	25	5	3	1	0	35			
Cherry	97	23	8	3	1	1	26			
Nested-Triangles	95	19	8	2	1	0	35			
Jack-o-Lantern	73	15	4	4	0	1	35			
PK	72	23	7	1	0	0	22			
F-Shield	72	20	5	1	0	0	31			
Pointy-V	69	18	6	2	1	0	17			
Diamond	66	14	5	2	1	0	18			
Gamma	64	15	5	3	0	1	24			
Fangs	64	16	6	0	0	0	17			
Iron-Man	63	17	8	1	0	0	17			
N-Bar	61	15	5	2	0	0	21			
Triangle-with-Loops	61	15	5	4	0	0	24			
Cloverleaf-in-Circle	58	16	5	2	0	0	20			
Sunrays	55	14	7	1	0	1	15			
Haven	53	12	3	3	0	0	20			
Chessboard	52	11	3	3	0	0	31			
Nosering	46	12	5	0	0	0	13			
DK	39	11	4	0	0	0	16			
Qbert	39	11	4	0	0	0	12			
Tentacle	34	7	2	1	0	1	30			
C-Dot	33	8	4	1	0	0	13			
Alien	32	10	3	0	0	0	17			
Two-Diamonds	28	9	4	0	0	0	11			
Triangle-Arrow	27	3	1	2	1	1	27			
SD3	27	8	2	0	0	0	14			
l-Hat	27	6	3	0	0	0	14			
B-on-Y	24	8	2	0	0	0	13			
TEP-Bunny	23	6	3	0	0	0	11			
Topy	23	6	4	0	0	0	8			
Fork	23	4	2	1	0	0	19			
8-Ball	22	4	2	1	0	0	14			
JB	21	7	4	1	0	0	10			
Coke-Can	21	8	3	0	0	0	10			
THA-Octagon	20	7	4	0	0	0	8			
Eye	20	6	3	0	0	0	8			
Kallisti	20	7	3	0	0	0	9			
Rat-22	19	5	2	0	0	0	11			
Scooter	18	6	3	0	0	0	9			
Acetone	18	4	2	0	0	0	14			
Led-Zeppelin-Circle	17	6	2	0	0	0	12			
Rocket-Heart	16	4	2	0	0	0	8			
Spider-Triangle	16	6	1	0	0	0	16			
Five-Loop-Flower	15	6	2	0	0	0	11			
Eagle	15	4	2	0	0	0	8			
Cross-over-Question	15	7	4	0	0	0	7			
Alien-Heart	14	3	1	1	0	0	14			
Drunken-Monkey	13	6	4	0	0	0	6			
Fuck-You	13	5	3	0	0	0	8			
Minorah	13	4	3	0	0	0	7			
C-Squared	12	4	2	0	0	0	8			
Penguin	12	1	1	1	0	1	12			
Jesus-Fish	12	3	1	0	0	0	12			
XXeta	11	3	2	0	0	0	9			
Cube	10	3	1	0	0	0	10			
Apple-Logo	10	3	2	0	0	0	6			
Hammer-and-Sickle	9	3	1	0	0	0	9			
Upsidedown-Smile	9	4	1	0	0	0	9			
Moon-with-Nose	8	2	2	0	0	0	4			
XXC-H-Plus	8	2	1	0	0	0	8			
XXMM	8	2	1	0	0	0	8			
Spirograph	8	2	1	0	0	0	8			
Debian-Bottle	8	2	1	0	0	0	8			
Qwidjibo	8	2	1	0	0	0	8			
Cat-Ears-Smiling-Face	8	2	1	0	0	0	8			
Coatrack	7	3	1	0	0	0	7			
Triangle-on-Circle-with-Points	7	3	1	0	0	0	7			
Candycorn	7	1	1	0	0	0	7			
XXzzz?	6	2	1	0	0	0	6			
Much-Less-Than-Circle	6	3	1	0	0	0	6			
Circle-M	6	1	1	0	0	0	6			
XXTen-Fingers	6	2	2	0	0	0	4			
Baseball-Cap	5	2	1	0	0	0	5			
XXUpsidedown-T2	5	1	1	0	0	0	5			
Two-Spades	5	2	1	0	0	0	5			
PZ	4	1	1	0	0	0	4			
Z	4	2	1	0	0	0	4			
XXPhi	4	1	1	0	0	0	4			
Spiral-X	4	1	1	0	0	0	4			
XXR-h	4	3	1	0	0	0	4			
XXB-thingy	4	1	1	0	0	0	4			
Squid	4	1	1	0	0	0	4			
Volleyball	4	1	1	0	0	0	4			
XXklingon	4	1	1	0	0	0	4			
Does-not-Exist	4	1	1	0	0	0	4			
XXdx?	4	1	1	0	0	0	4			
XXOctathorpe	4	2	1	0	0	0	4			
Omega-Circle	4	1	1	0	0	0	4			
XXaleph?	4	1	1	0	0	0	4			
SH9	4	1	1	0	0	0	4			
V-Bar	4	1	1	0	0	0	4			
Circle-L	3	1	1	0	0	0	3			
XXone-eyed-smily	3	1	1	0	0	0	3			
Mu	3	1	1	0	0	0	3			
11	3	1	1	0	0	0	3			
Bird-Smacking-Into-Pyramid	2	1	1	0	0	0	2			
X-Dot	2	1	1	0	0	0	2			
Spider-in-Triangle	2	1	1	0	0	0	2			
Cross-on-clover	2	1	1	0	0	0	2			
Tree-with-Infinity	1	1	1	0	0	0	1			
XXUpsidedown-Mickey-with-Question	1	1	1	0	0	0	1			
